date,Model,CSPE
2011-08-01,Ridge,0.07607695289793907
2011-08-01,PC,0.05171321235710452
2011-08-01,PLS,0.052460751544575426
2011-08-01,Mean,0.01983784051292105
2011-08-01,Median,0.0027144044355305267
2011-08-01,Trimmed mean,0.01257024045962092
2011-08-01,DMSPE(1),0.022620158585543074
2011-08-01,DMSPE(0.9),0.024206217233252447
2011-09-01,Elastic Net,0.1040592266632688
2011-09-01,Lasso,0.10384717301401623
2011-09-01,Ridge,0.0743938775450812
2011-09-01,PC,0.04687550165460928
2011-09-01,PLS,0.04689930635815183
2011-09-01,Mean,0.01965686307215985
2011-09-01,Median,0.002648134920142091
2011-09-01,Trimmed mean,0.012401485869735605
2011-09-01,DMSPE(1),0.022417988962771293
2011-09-01,DMSPE(0.9),0.024014076234476815
2011-10-01,Elastic Net,0.10487986590329341
2011-10-01,Lasso,0.10499579951905302
2011-10-01,Ridge,0.07445527989046188
2011-10-01,PC,0.04504335880958213
2011-10-01,PLS,0.036576978263803524
2011-10-01,Mean,0.018095446192880792
2011-10-01,Median,0.0020629040843987596
2011-10-01,Trimmed mean,0.010762813973531203
2011-10-01,DMSPE(1),0.02087768515861177
2011-10-01,DMSPE(0.9),0.022463429232052464
2011-11-01,Elastic Net,0.10473149142084819
2011-11-01,Lasso,0.10502410993635077
2011-11-01,Ridge,0.0740202616987596
2011-11-01,PC,0.04223830466093223
2011-11-01,PLS,0.03659008472681417
2011-11-01,Mean,0.018108691212432942
2011-11-01,Median,0.0020696848336680318
2011-11-01,Trimmed mean,0.010776039537181535
2011-11-01,DMSPE(1),0.020892156393013374
2011-11-01,DMSPE(0.9),0.02248036390194496
2011-12-01,Elastic Net,0.10474934376413741
2011-12-01,Lasso,0.1048333687259701
2011-12-01,Ridge,0.07401096072525733
2011-12-01,PC,0.04215965438418373
2011-12-01,PLS,0.03645643279142097
2011-12-01,Mean,0.018094825928635552
2011-12-01,Median,0.002069401013738985
2011-12-01,Trimmed mean,0.010769876318516274
2011-12-01,DMSPE(1),0.020878404997873717
2011-12-01,DMSPE(0.9),0.022470592129412437
2012-01-01,Elastic Net,0.10416793658187205
2012-01-01,Lasso,0.10432596204119851
2012-01-01,Ridge,0.0737316776288314
2012-01-01,PC,0.04069413998891769
2012-01-01,PLS,0.03574005876961472
2012-01-01,Mean,0.01803662596822444
2012-01-01,Median,0.00206975732351898
2012-01-01,Trimmed mean,0.01072612086845793
2012-01-01,DMSPE(1),0.020812189714521864
2012-01-01,DMSPE(0.9),0.022405581503965568
2012-02-01,Elastic Net,0.1047415021871723
2012-02-01,Lasso,0.10505407159304798
2012-02-01,Ridge,0.07410249635602366
2012-02-01,PC,0.04120574369498442
2012-02-01,PLS,0.036437948877539025
2012-02-01,Mean,0.018200184885688517
2012-02-01,Median,0.0021926790654019303
2012-02-01,Trimmed mean,0.010882901196527737
