date,n_selected_lasso,n_selected_en,alpha_en,lambda_en,lambda_lasso,pc_k
2014-10-01,2,3,0.1,0.16047630673465013,0.030777915544168737,5
2014-11-01,2,3,0.1,0.14622003393557845,0.030777915544168737,5
2014-12-01,3,4,0.1,0.12047296341753776,0.01747856423568524,5
2015-01-01,3,5,0.1,0.10977047738492421,0.014511011094189105,5
2015-02-01,3,5,0.1,0.10972983023403599,0.01591991955630133,5
2015-03-01,3,5,0.1,0.10918829335967005,0.015841351828106646,5
2015-04-01,3,5,0.1,0.10918829335967005,0.027683212214129997,5
2015-05-01,3,4,0.1,0.10819870113899795,0.01569777894083397,5
2015-06-01,3,4,0.1,0.10819870113899795,0.01569777894083397,5
2015-07-01,3,3,0.1,0.10799479850255331,0.013008011712585928,5
2015-08-01,3,5,0.1,0.08899764080564607,0.011764964349738291,5
2015-09-01,3,4,0.1,0.097674800915991,0.011764964349738291,5
2015-10-01,3,4,0.1,0.09743455523047843,0.012880274784165535,5
2015-11-01,3,4,0.1,0.09743455523047843,0.012880274784165535,5
2015-12-01,3,5,0.1,0.09714486575635509,0.01170113347214938,5
2016-01-01,3,6,0.1,0.08721537071194896,0.01152935873228443,5
2016-02-01,3,6,0.1,0.08721537071194896,0.01152935873228443,5
2016-03-01,3,5,0.1,0.08653237496463291,0.011439070714023987,5
2016-04-01,3,4,0.1,0.08653237496463291,0.011439070714023987,5
2016-05-01,3,4,0.1,0.07844905058874783,0.011381614023983919,5
2016-06-01,3,4,0.1,0.07807046678489754,0.011326687996214073,5
2016-07-01,3,4,0.1,0.07807046678489754,0.011326687996214073,5
2016-08-01,3,4,0.1,0.07761142217849974,0.011260088483656547,5
2016-09-01,3,4,0.1,0.07761142217849974,0.011260088483656547,5
2016-10-01,3,3,0.1,0.07753949441665456,0.011249652996970767,5
2016-11-01,3,3,0.1,0.07725037032384968,0.011207706041530987,5
