date,r,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12,OBV_1_9,OBV_1_12,OBV_2_9,OBV_2_12,OBV_3_9,OBV_3_12
2002-07-01,0.04853790645051603,1.68,4.65,5.569479397662391e-4,0.01518657403173529,93.61022,-43.165356,-0.00356264691013308,-0.02940096936910663,1.0725585895521306e-4,0.00451199148365333,-0.00350451045880095,0,0.3,73.3658,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2002-08-01,0.04210169603976554,1.62,4.26,0.00222469502211097,0.00937292091654877,110.30517,-43.926655,-0.02286305000757416,-0.04271927135663311,-0.01512888159630065,0.00765971115162322,-0.02296565812125539,0,-0.27,73.2563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2002-09-01,-0.03024596994384021,1.63,3.87,0.00277392688272559,0.0075098109290384,116.01482,-42.629814,0.00779427172681757,-0.02683631741483871,0.03844984521840366,0.00753054483134718,0.00779364745845789,-0.09999999999999964,-0.07,73.3176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2002-10-01,-0.09194929752540348,1.58,3.94,0.00166067018514048,0.01137545659287193,124.04315,-26.107714,-0.06873410579783723,-0.0902769050845098,-0.08150193052507682,0.0042475684625014,-0.06866519339469779,0,-0.34,73.3689,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
2002-11-01,0.1099136080086396,1.23,4.05,0.00220994565080268,0.00442090059840899,111.88598,-11.766883,-0.00984314753818083,0.07412512666613225,0.08024380496595818,0.00788084364495667,-0.00983892054234392,0,-0.35,73.1681,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
2002-12-01,0.10756706349654266,1.19,4.03,0.00165426009602587,0.00264818838882673,123.28439,-5.0369333,0.04845238338594626,-0.01174742345270019,0.01271777800180551,0.00889654543850504,0.04832912456565275,0.20000000000000015,0.15,73.5668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003-01-01,0.07833276034282433,1.17,4.05,0.00165152803847323,0.00516358214545277,122.22166,8.1639997,0.01727524011955594,-0.03696143233096194,-0.09934773763995076,0.00369231188712682,0.01729996217542506,0.09999999999999964,-0.59,73.057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003-02-01,-0.06857428299152923,1.17,3.9,0.00439078641749013,0.0025589733128512,138.9534,9.5588013,0.00575064754592702,-0.01293933315778694,-0.01243253034496483,0.00564208027348911,0.00584608115887963,-0.20000000000000015,0.39,73.7116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003-03-01,-0.16977264049069207,1.13,3.81,0.00546151002552175,0.00611188295661917,126.72774,7.9921629,0.00485353700223534,-0.0108562127694185,-0.01858941704901795,0.0061919702479205,0.00478965106910944,0.10000000000000052,-0.46,73.6196,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
2003-04-01,-4.933001266307357e-4,1.13,3.96,0.00163265342388552,0.0030259907472646,163.52381,17.993039,0.00345244603238903,0.03800534473509742,0.08502293293126151,0.00344810269426965,0.00355466309347729,0,-0.18,73.725,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
