date,futures_price,volume,n_daily_obs
2008-04-01,113.45999908447266,5854686,22
2008-05-01,127.3499984741211,7054428,21
2008-06-01,140,6474258,21
2008-07-01,124.08000183105469,6083909,22
2008-08-01,115.45999908447266,5692611,21
2008-09-01,100.63999938964844,5950416,21
2008-10-01,67.80999755859375,5903035,23
2008-11-01,54.43000030517578,4752064,19
2008-12-01,44.599998474121094,4640198,22
2009-01-01,41.68000030517578,5452571,20
2009-02-01,44.7599983215332,5075519,19
2009-03-01,49.65999984741211,5322078,22
2009-04-01,51.119998931884766,4954274,21
2009-05-01,66.30999755859375,5254102,20
2009-06-01,69.88999938964844,5843371,22
2009-07-01,69.44999694824219,6155493,22
2009-08-01,69.95999908447266,5930812,21
2009-09-01,70.61000061035156,5938598,21
2009-10-01,77,7286480,22
2009-11-01,77.279998779296875,6674756,20
2009-12-01,79.36000061035156,5820203,22
2010-01-01,72.88999938964844,5645255,19
2010-02-01,79.660003662109375,6769263,19
2010-03-01,83.76000213623047,6836560,23
2010-04-01,86.1500015258789,7622339,21
2010-05-01,73.970001220703125,8409610,20
2010-06-01,75.62999725341797,7515626,22
2010-07-01,78.94999694824219,6459054,21
2010-08-01,71.91999816894531,7019320,22
2010-09-01,79.970001220703125,7092675,21
2010-10-01,81.43000030517578,6834324,21
2010-11-01,84.11000061035156,7047186,21
2010-12-01,91.37999725341797,5666635,22
2011-01-01,92.19000244140625,7342599,20
2011-02-01,96.970001220703125,6702855,19
2011-03-01,106.72000122070312,7142807,23
2011-04-01,113.93000030517578,5906063,20
2011-05-01,102.69999694824219,7956821,21
2011-06-01,95.41999816894531,7612897,22
2011-07-01,95.69999694824219,5712768,20
2011-08-01,88.80999755859375,8623260,23
2011-09-01,79.19999694824219,6687717,21
2011-10-01,93.19000244140625,6923687,21
2011-11-01,100.36000061035156,6546619,21
2011-12-01,98.83000183105469,4905263,21
2012-01-01,98.4800033569336,5698759,20
2012-02-01,107.06999969482422,5837415,20
2012-03-01,103.0199966430664,6022417,22
2012-04-01,104.87000274658203,4682534,20
2012-05-01,86.529998779296875,6008992,22
2012-06-01,84.95999908447266,6321933,21
2012-07-01,88.05999755859375,5496180,21
2012-08-01,96.470001220703125,5267722,23
2012-09-01,92.19000244140625,4549667,19
2012-10-01,86.23999786376953,5239421,21
2012-11-01,88.910003662109375,5396754,21
2012-12-01,91.81999969482422,3789627,20
2013-01-01,97.48999786376953,4573516,21
2013-02-01,92.05000305175781,4427942,19
2013-03-01,97.2300033569336,4226621,20
2013-04-01,93.45999908447266,5632039,22
2013-05-01,91.970001220703125,6126412,22
2013-06-01,96.55999755859375,5266358,20
2013-07-01,105.02999877929688,5636543,22
2013-08-01,107.6500015258789,5634934,22
2013-09-01,102.33000183105469,4794167,20
2013-10-01,96.37999725341797,5458477,23
2013-11-01,92.720001220703125,4709460,20
2013-12-01,98.41999816894531,3828981,21
2014-01-01,97.48999786376953,4699881,21
2014-02-01,102.58999633789062,4092761,19
2014-03-01,101.58000183105469,4805002,21
2014-04-01,99.73999786376953,4991696,21
2014-05-01,102.70999908447266,4580697,21
2014-06-01,105.37000274658203,4302933,21
2014-07-01,98.16999816894531,5346395,22
2014-08-01,95.95999908447266,4773185,21
2014-09-01,91.160003662109375,5762880,21
2014-10-01,80.54000091552734,7448385,23
2014-11-01,66.1500015258789,6055929,19
2014-12-01,53.27000045776367,6919717,22
2015-01-01,48.2400016784668,7699363,20
2015-02-01,49.7599983215332,8798437,19
2015-03-01,47.599998474121094,8046270,22
2015-04-01,59.630001068115234,7959153,21
2015-05-01,60.29999923706055,6651435,20
2015-06-01,59.470001220703125,6767902,22
2015-07-01,47.119998931884766,7403886,22
2015-08-01,49.20000076293945,8594213,21
2015-09-01,45.09000015258789,8283967,21
2015-10-01,46.59000015258789,8628176,22
2015-11-01,41.650001525878906,8277803,20
2015-12-01,37.040000915527344,8971442,22
2016-01-01,33.619998931884766,11048634,19
2016-02-01,33.75,11959964,20
2016-03-01,38.34000015258789,11329978,22
2016-04-01,45.91999816894531,12383923,21
2016-05-01,49.099998474121094,11708681,21
2016-06-01,48.33000183105469,10863962,22
2016-07-01,41.599998474121094,9855331,20
2016-08-01,44.70000076293945,12064000,23
2016-09-01,48.2400016784668,13029632,21
2016-10-01,46.86000061035156,10661311,20
2016-11-01,49.439998626708984,13496865,20
2016-12-01,53.720001220703125,11030474,21
2017-01-01,52.630001068115234,10095472,19
