date,wti_return,rac_return,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,r,r_rac
2004-01-01,0.0613432881825382,0.04609882782356589,0.88,4.15,0.00269905696916517,9.7788089255517e-4,91.73699,109.91387,0.004317329965580541,-0.04491202895630586,0.03499174962250251,-2.798515159039283e-4,0.004477211036801876,-0.09999999999999964,0.04,75.0148,0.00886983117116591,0.016934753197868524
2004-02-01,0.00886983117116591,0.016934753197868524,0.93,4.08,0.004303395560053325,6.075145592608308e-4,96.56646,122.27162,0.0025098614824852206,0.010105899163388443,-0.03541960287536483,0.001365592229262802,0.0024146474543886853,0,0.05,74.9678,0.055274436072954014,0.044646392946753544
2004-03-01,0.055274436072954014,0.044646392946753544,0.94,3.83,0.002144772940133599,0.0019845705149056712,99.4573,126.36387,-0.002330376603604023,0.045730291681630675,-0.003214747732158685,0.006506139847289205,-0.00234576854264823,-0.10000000000000053,0.46,75.5466,-0.0013299906524113503,0.003979273313917453
2004-04-01,-0.0013299906524113503,0.003979273313917453,0.94,4.35,0.0021401827323677125,0.0012366933756263897,96.78947,120.28552,0.008043657632736512,0.04482039161669249,0.07950591019432984,0.005879639404628989,0.008009593376698376,0.20000000000000018,0.54,75.5405,0.08745698484455833,0.09402559621589024
2004-05-01,0.08745698484455833,0.09402559621589024,1.02,4.72,0.00160213652427732,9.770153977144839e-4,94.11529,106.92542,-0.010199605287805724,0.019819244644928347,0.002672871957090095,0.006636046623725633,-0.010071293747956567,-0.20000000000000018,0.08,75.789,-0.061192293266377984,-0.06825106849375562
2004-06-01,-0.061192293266377984,-0.06825106849375562,1.27,4.73,0.004259857346958107,7.680095355561219e-4,92.32118,84.485827,-7.196833703932981e-4,0.003974944688295068,0.03277387703865742,0.012313175625516593,-7.864488704187877e-4,0,0.56,76.3573,0.06875824204919301,0.06934871742833026
2004-07-01,0.06875824204919301,0.06934871742833026,1.33,4.5,0.003712547356184537,7.812381057860591e-4,85.34598,62.839552,-0.027184014492229736,0.0011060913275500184,0.007719838196038609,3.5049707215684123e-4,-0.027183308143129636,0,-0.28,75.786,0.09571734864853321,0.09430011448158737
2004-08-01,0.09571734864853321,0.09430011448158737,1.48,4.28,0.001058201156947547,0.0014458739589624538,87.54419,89.280368,0.014140351300200749,-0.03478254543924386,-0.022563484230454733,0.002100406532402843,0.01416373928975645,-0.09999999999999964,0.47,76.4606,0.019732172954693983,0.020870981822956214
2004-09-01,0.019732172954693983,0.020870981822956214,1.65,4.13,5.286809533657788e-4,7.069195775389195e-4,85.92587,99.242818,-0.029422050104578545,-0.05508592387571554,0.015608757012827823,0.004235110106025175,-0.02948679559013989,-0.09999999999999964,0.3,76.7794,0.14296995613282304,0.11005107460566288
2004-10-01,0.14296995613282304,0.11005107460566288,1.76,4.1,0.0031662295580501265,0.0012258341799239437,100.01189,98.41948,-0.046904618983894864,-0.02064268949969872,-0.0757418993143677,0.005430163303620006,-0.04680390872271323,0,0.17,76.8286,-0.09932186741226223,-0.13321088453959407
2004-11-01,-0.09932186741226223,-0.13321088453959407,2.07,4.19,0.005254872838358793,8.513649161375767e-4,105.69511,107.23811,0.017364595908743397,0.049025483099622846,0.06632870907018606,0.0043355393077053606,0.017268854909341602,0.09999999999999964,0.43,77.5592,-0.11626263232784728,-0.15770843424443992
2004-12-01,-0.11626263232784728,-0.15770843424443992,2.19,4.23,0.0047058910374122576,7.245043540543934e-4,95.24086,122.60437,0.04777647933858553,0.005468752758194029,-0.012038980357203855,0.004145132283314368,0.04785712104655371,-0.09999999999999964,0.04,77.4826,0.08257690571491816,0.09804420718202556
