date,Model,CSPE
2008-10-01,Boosting CV,0.10725315552519414
2008-11-01,Screening 1,0.1561192189784429
2008-11-01,Screening 2,0.15698824502713446
2008-11-01,Screening 3,0.16967042755835682
2008-11-01,Screening 4,0.15980545132838891
2008-11-01,Screening 5,0.16778123334879708
2008-11-01,Screening 6,0.18276966227391478
2008-11-01,Screening 7,0.17957230555144463
2008-11-01,Screening 8,0.16381192534860017
2008-11-01,Screening 9,0.1601847508949605
2008-11-01,Screening 10,0.1744104050355013
2008-11-01,Screening 11,0.1667685891343968
2008-11-01,Screening 12,0.14269382273168782
2008-11-01,Screening 13,0.1381716225668491
2008-11-01,Screening 14,0.14196440409666317
2008-11-01,Screening 15,0.15887901910808896
2008-11-01,Screening CV,0.1782906500833184
2008-11-01,Boosting 1,0.02162280298744511
2008-11-01,Boosting 5,0.10296576589398311
2008-11-01,Boosting 10,0.1494202659429566
2008-11-01,Boosting 25,0.16880724653946652
2008-11-01,Boosting 50,0.16624278048003413
2008-11-01,Boosting 100,0.16732980264379843
2008-11-01,Boosting 200,0.16739423658700778
2008-11-01,Boosting 300,0.1626988163095933
2008-11-01,Boosting CV,0.17272576851875052
2008-12-01,Screening 1,0.14014486803065931
2008-12-01,Screening 2,0.12703720906522742
2008-12-01,Screening 3,0.13749358703549164
2008-12-01,Screening 4,0.12696511561762466
2008-12-01,Screening 5,0.1333644040854093
2008-12-01,Screening 6,0.14731852514684768
2008-12-01,Screening 7,0.14375759864299045
2008-12-01,Screening 8,0.1278530162935992
2008-12-01,Screening 9,0.12545197002297206
2008-12-01,Screening 10,0.1394401176168576
2008-12-01,Screening 11,0.13095361696826663
2008-12-01,Screening 12,0.10686002292793721
2008-12-01,Screening 13,0.10330515404438607
2008-12-01,Screening 14,0.10710749015202375
2008-12-01,Screening 15,0.12733932779257678
2008-12-01,Screening CV,0.1424568502795678
2008-12-01,Boosting 1,0.021282094029387084
2008-12-01,Boosting 5,0.10019037178177702
2008-12-01,Boosting 10,0.1430264738070303
2008-12-01,Boosting 25,0.1507957947931794
2008-12-01,Boosting 50,0.1485424496392393
2008-12-01,Boosting 100,0.1491413428004987
2008-12-01,Boosting 200,0.1520528164690032
2008-12-01,Boosting 300,0.14945039865534618
2008-12-01,Boosting CV,0.15492004592318576
2009-01-01,Screening 1,0.1449965435196051
2009-01-01,Screening 2,0.1321240062264758
2009-01-01,Screening 3,0.14214254237090757
2009-01-01,Screening 4,0.13154446621591492
2009-01-01,Screening 5,0.1377727479293039
2009-01-01,Screening 6,0.1516273978940909
2009-01-01,Screening 7,0.14715955992205318
2009-01-01,Screening 8,0.131170070463275
2009-01-01,Screening 9,0.12889050547400388
2009-01-01,Screening 10,0.14274417595805133
2009-01-01,Screening 11,0.13391907822156948
2009-01-01,Screening 12,0.1098324743313195
2009-01-01,Screening 13,0.10724869527210446
2009-01-01,Screening 14,0.11111262201520652
2009-01-01,Screening 15,0.13193414690989433
2009-01-01,Screening CV,0.1454293016829501
2009-01-01,Boosting 1,0.022032837849350406
2009-01-01,Boosting 5,0.10294055598945934
2009-01-01,Boosting 10,0.14708442322623638
2009-01-01,Boosting 25,0.15594982185593143
2009-01-01,Boosting 50,0.15369763807066963
2009-01-01,Boosting 100,0.15429738375005986
2009-01-01,Boosting 200,0.15712422131620163
2009-01-01,Boosting 300,0.15437654268461415
2009-01-01,Boosting CV,0.1600700354122655
2009-02-01,Screening 1,0.12669571943625074
2009-02-01,Screening 2,0.12881583757882725
2009-02-01,Screening 3,0.13376564937370186
2009-02-01,Screening 4,0.1252275278210062
2009-02-01,Screening 5,0.1280781892796755
2009-02-01,Screening 6,0.14340707924215765
2009-02-01,Screening 7,0.135889557536075
2009-02-01,Screening 8,0.12087802420659514
2009-02-01,Screening 9,0.11862747663673688
2009-02-01,Screening 10,0.1299320537797804
2009-02-01,Screening 11,0.12507841995166666
2009-02-01,Screening 12,0.10108297198323608
2009-02-01,Screening 13,0.10385008700927024
2009-02-01,Screening 14,0.10863131799743098
2009-02-01,Screening 15,0.13242709723419613
2009-02-01,Screening CV,0.13667979933486668
2009-02-01,Boosting 1,0.020354182092698198
2009-02-01,Boosting 5,0.09844435837260117
2009-02-01,Boosting 10,0.1438298645264291
2009-02-01,Boosting 25,0.1453307500986484
2009-02-01,Boosting 50,0.13194662927547007
2009-02-01,Boosting 100,0.13113242962358088
2009-02-01,Boosting 200,0.13220429957175145
2009-02-01,Boosting 300,0.1276087576008546
2009-02-01,Boosting CV,0.13591929327918592
2009-03-01,Screening 1,0.11071228507958353
2009-03-01,Screening 2,0.12251586176335294
2009-03-01,Screening 3,0.12808955499612737
2009-03-01,Screening 4,0.11848285957731973
2009-03-01,Screening 5,0.12153780573179342
2009-03-01,Screening 6,0.13599848812937798
2009-03-01,Screening 7,0.13058474111341453
2009-03-01,Screening 8,0.11105738710373023
2009-03-01,Screening 9,0.11058154106403624
2009-03-01,Screening 10,0.12255425556642238
2009-03-01,Screening 11,0.12161825378164953
2009-03-01,Screening 12,0.09777953281741322
2009-03-01,Screening 13,0.10122102312593327
2009-03-01,Screening 14,0.10622948547357627
2009-03-01,Screening 15,0.13132736553896668
2009-03-01,Screening CV,0.12863386376216604
2009-03-01,Boosting 1,0.01966457112580646
2009-03-01,Boosting 5,0.09684583857838439
2009-03-01,Boosting 10,0.1407389706952246
2009-03-01,Boosting 25,0.1405860292301434
2009-03-01,Boosting 50,0.12631387471946043
2009-03-01,Boosting 100,0.12660268962070248
2009-03-01,Boosting 200,0.12933033289581716
2009-03-01,Boosting 300,0.1262584714018339
2009-03-01,Boosting CV,0.13057101092092174
2009-04-01,Screening 1,0.1036443946422949
2009-04-01,Screening 2,0.12667983703812133
2009-04-01,Screening 3,0.1330045108831541
2009-04-01,Screening 4,0.12166254214711644
2009-04-01,Screening 5,0.12332647202399287
2009-04-01,Screening 6,0.14879447266286536
2009-04-01,Screening 7,0.14498035989858138
2009-04-01,Screening 8,0.12493417808994492
2009-04-01,Screening 9,0.1259516094986442
2009-04-01,Screening 10,0.13873323629087755
2009-04-01,Screening 11,0.12677148820449533
2009-04-01,Screening 12,0.10362270691920228
2009-04-01,Screening 13,0.10728053648922897
2009-04-01,Screening 14,0.11949397591210617
2009-04-01,Screening 15,0.14487740620669193
2009-04-01,Screening CV,0.1304225300543655
2009-04-01,Boosting 1,0.0189938567989388
2009-04-01,Boosting 5,0.09729328608727736
2009-04-01,Boosting 10,0.1416869316775946
2009-04-01,Boosting 25,0.14411281336132045
2009-04-01,Boosting 50,0.13154260053715552
2009-04-01,Boosting 100,0.13461071248759832
2009-04-01,Boosting 200,0.13926270525941842
