model,variable,frequency
Screening_10,long_yield,0
Screening_10,oil_stock_growth,0
Screening_10,capacity_util,0
Screening_10,MA_2_12,0
Screening_10,MA_3_9,0
Screening_10,MA_3_12,0
Screening_10,MOM_9,0
Screening_10,MOM_12,0
Screening_10,OBV_2_9,0
Screening_10,OBV_3_9,0
Screening_10,OBV_3_12,0
Screening_11,MOM_1,1
Screening_11,MOM_2,1
Screening_11,MOM_6,1
Screening_11,svar,0.9512195121951219
Screening_11,MOM_3,0.943089430894309
Screening_11,MA_2_9,0.7886178861788617
Screening_11,OBV_1_9,0.7804878048780488
Screening_11,cfnai,0.7560975609756098
Screening_11,m2_growth,0.6910569105691057
Screening_11,OBV_2_12,0.6097560975609756
Screening_11,unrate_change,0.5772357723577236
Screening_11,MA_1_9,0.36585365853658536
Screening_11,ip_crude_growth,0.3170731707317073
Screening_11,oil_prod_growth,0.21951219512195122
Screening_11,inflation,0.21138211382113822
Screening_11,OBV_1_12,0.21138211382113822
Screening_11,MA_1_12,0.1951219512195122
Screening_11,oil_import_growth,0.14634146341463414
Screening_11,epu,0.13008130081300814
Screening_11,kilian,0.04878048780487805
Screening_11,oil_stock_growth,0.04065040650406504
Screening_11,tbill,0.008130081300813009
Screening_11,OBV_2_9,0.008130081300813009
Screening_11,long_yield,0
Screening_11,capacity_util,0
Screening_11,MA_2_12,0
Screening_11,MA_3_9,0
Screening_11,MA_3_12,0
Screening_11,MOM_9,0
Screening_11,MOM_12,0
Screening_11,OBV_3_9,0
Screening_11,OBV_3_12,0
Screening_12,MOM_1,1
Screening_12,MOM_2,1
Screening_12,MOM_6,1
Screening_12,MOM_3,0.975609756097561
Screening_12,svar,0.967479674796748
Screening_12,MA_2_9,0.7886178861788617
Screening_12,OBV_1_9,0.7886178861788617
Screening_12,cfnai,0.7804878048780488
Screening_12,m2_growth,0.7235772357723578
Screening_12,OBV_2_12,0.6666666666666666
Screening_12,unrate_change,0.6341463414634146
Screening_12,ip_crude_growth,0.5203252032520326
Screening_12,MA_1_9,0.43902439024390244
Screening_12,oil_prod_growth,0.3008130081300813
Screening_12,MA_1_12,0.23577235772357724
Screening_12,inflation,0.21951219512195122
Screening_12,OBV_1_12,0.21951219512195122
Screening_12,epu,0.21138211382113822
Screening_12,oil_import_growth,0.18699186991869918
Screening_12,MOM_9,0.18699186991869918
Screening_12,oil_stock_growth,0.06504065040650407
Screening_12,kilian,0.04878048780487805
Screening_12,tbill,0.024390243902439025
Screening_12,OBV_2_9,0.016260162601626018
Screening_12,long_yield,0
Screening_12,capacity_util,0
Screening_12,MA_2_12,0
Screening_12,MA_3_9,0
Screening_12,MA_3_12,0
Screening_12,MOM_12,0
Screening_12,OBV_3_9,0
Screening_12,OBV_3_12,0
Screening_13,MOM_1,1
Screening_13,MOM_2,1
Screening_13,MOM_6,1
Screening_13,MOM_3,0.991869918699187
Screening_13,svar,0.983739837398374
Screening_13,cfnai,0.8048780487804879
Screening_13,MA_2_9,0.7967479674796748
Screening_13,OBV_1_9,0.7886178861788617
Screening_13,m2_growth,0.7560975609756098
Screening_13,unrate_change,0.7317073170731707
Screening_13,ip_crude_growth,0.6991869918699187
Screening_13,OBV_2_12,0.6747967479674797
Screening_13,MA_1_9,0.4959349593495935
Screening_13,oil_prod_growth,0.4715447154471545
Screening_13,epu,0.2764227642276423
Screening_13,OBV_1_12,0.2764227642276423
Screening_13,MA_1_12,0.24390243902439024
Screening_13,inflation,0.21951219512195122
Screening_13,oil_import_growth,0.2032520325203252
